Reporting Date,Fund Name (Short),Fund Name (Long),Investee,Short Name,Investee Currency,Vintage,Geograhpy,Industry,Project Code,Investment Category,Investments,Realized Cost,Current Valuation,Total Value,Total Income,Current Cost,Principal,IRR,Gross IRR,Multiple,Proceeds,All Other Income,Dividends,Other Income,MC2025Q1FundID
12/31/2024,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Northwatch Systems Ltd,Northwatch,USD,2020,North America,45 - Information Technology,,Non-Controlled Investments,100000000,0,73983894,73983894,0,100000000,100000000,-0.1218,-0.1218,1.47967788,0,0,0,0,MC-A-2
12/31/2024,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Erydan Capital Partners,Erydan,USD,2022,Middle East,45 - Information Technology,,Non-Controlled Investments,10180000,0,0,0,0,10180000,10180000,-2,-2,0,0,0,0,0,MC-A-2
12/31/2024,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Verdant Carbon One Ltd,Verdant,USD,2021,Africa,20 - Industrials,,Non-Controlled Investments,40000000,0,39648000,51489194.02,11841194.02,40000000,40000000,0.2002,0.2002,2.5744597,0,11841194.02,0,0,MC-A-2
12/31/2024,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Blockshore Markets,Blockshore,USD,2021,North America,45 - Information Technology,,Non-Controlled Investments,34000000,10000000,0,11100345.68,0,24000000,22899654.32,-0.7544,-0.7544,0.65296152,11100345.68,0,0,0,MC-A-2
12/31/2024,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),Hollis Gate Digital Inc,Hollis Gate,USD,2023,North America,40 - Financials,,Non-Controlled Investments,2999999.24,0,3000000,3000000,0,2999999.24,2999999.24,0,0,2.0000005,0,0,0,0,MC-A-3
12/31/2024,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),Neurvia Analytics Inc,Neurvia,USD,2025,Asia,45 - Information Technology,,Non-Controlled Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MC-A-3
12/31/2024,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Sahra Capital Advisors Ltd,Sahra GP,USD,2024,Middle East,4020 - Diversified Financials,,Non-Controlled Investments,0,0,5172501.2,5298608.66,126107.46,0,0,0,0,0,0,126107.46,0,126107.46,MC-A-2
12/31/2024,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Liberty Crest Management,Liberty GP,USD,2024,Global,4020 - Diversified Financials,,Non-Controlled Investments,0,0,1103710.62,1103710.62,0,0,0,0,0,0,0,0,0,0,MC-A-2
12/31/2024,SOVEREIGN 2019,Sovereign Catalyst Partners Fund (2019),Stonepine Capital Advisors,Stonepine GP,USD,2024,Middle East,4020 - Diversified Financials,,Non-Controlled Investments,0,0,3151194,3151194,0,0,0,0,0,0,0,0,0,0,MC-A-2
12/31/2024,AURORA I,Aurora Private Equity Fund I,Circulis Technologies,Circulis,EUR,2019,Western Europe,25301030 - Leisure Facilities,10198,Controlled Investments,37168000,37168000,0,77918209.16,-102788.64,0,-40096943.26,3.5884,3.5884,4.1927577,78020997.8,-102788.64,0,-102788.64,MC-V-1
