Reporting Date,Fund Name (Short),Fund Name (Long),Investee,Short Name,Investee Currency,Investment Category,Vintage,Geograhpy,Industry,Sector Focus,Project Code,Commitment,Remaining Commitment,Realized,Adjusted NAV,Total Called,Last NAV,Last NAV Date,IRR,Multiple,MC2025Q1FundID
6/30/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),Aurora Global Investment Fund,Aurora,USD,,2025,North America,,Diversified,,100000000,100000000,0,0,0,0,#VALUE!,0,0,MC-A-3
6/30/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),Helios Strategic Holdings,Helios,USD,,2024,North America,,Diversified,,50000000,39875196.16,212182,11665054,10336757.72,11665054,12/30/2150,0.7032,2.29805832,MC-A-3
6/30/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),BlueHarbor Aquaculture Partners,BlueHarbor,USD,,2024,Asia,,Diversified,,10000000,3502256.7,0,2924419.16,6497743.3,2924419.16,12/30/2150,-1.7664,0.9001338,MC-A-3
6/30/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),Stonebridge Secondary Opportunities,Stonebridge,USD,,2023,Europe,,Diversified,,50000000,46598098.4,0,3974186,3702760.28,3974186,12/30/2150,1269.9398,2.14660724,MC-A-3
6/30/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),Armitage Growth Capital,Armitage,USD,,2023,North America,,Diversified,,100000000,100000000,0,2362484,0,2362484,12/30/2150,0,0,MC-A-3
6/30/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),Pinnacle Private Credit Fund,Pinnacle,USD,,2024,Europe,,Diversified,,0,0,0,0,0,0,#VALUE!,0,0,MC-A-3
6/30/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),Atlas MENA Credit Partners,Atlas,USD,,2025,Middle East,,4020 - Diversified Financials,,0,0,0,0,0,0,#VALUE!,0,0,MC-A-3
6/30/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),Summit Capital XIV,Summit,USD,,2025,North America,,30 - Consumer Staples,,0,0,0,0,0,0,#VALUE!,0,0,MC-A-3
6/30/2025,SOVEREIGN 2023,Sovereign Catalyst Partners Fund (2023),Momentum Co-Investment Vehicle,Momentum,USD,,2025,Canada,Financial Services,40 - Financials,,0,0,0,0,0,0,#VALUE!,0,0,MC-A-3
6/30/2025,AURORA I,Aurora Private Equity Fund I,Northfield Education Holdings,Northfield,USD,Controlled Investments,2021,Western Europe,Consumer and Food Services,25302010 - Education Services,,55920895.58,9920895.58,0,62295154.34,46000000,62295154.34,6/30/2146,0.2328,2.70848498,MC-V-1
